Rk,Player,Team,Pos.
1,Christian McCaffrey,SF,RB
2,CeeDee Lamb,DAL,WR
3,Tyreek Hill,MIA,WR
4,Breece Hall,NYJ,RB
5,Bijan Robinson,ATL,RB
6,Justin Jefferson,MIN,WR
7,Ja'Marr Chase,CIN,WR
8,Amon-Ra St. Brown,DET,WR
9,Puka Nacua,LAR,WR
10,Garrett Wilson,NYJ,WR
11,A.J. Brown,PHI,WR
12,Jonathan Taylor,IND,RB
13,Brandon Aiyuk,SF,WR
14,Marvin Harrison Jr.,ARI,WR
15,Kyren Williams,LAR,RB
16,Drake London,ATL,WR
17,De'Von Achane,MIA,RB
18,Saquon Barkley,PHI,RB
19,Jahmyr Gibbs,DET,RB
20,Davante Adams,LV,WR
21,Mike Evans,TB,WR
22,Chris Olave,NO,WR
23,DK Metcalf,SEA,WR
24,Jaylen Waddle,MIA,WR
25,Travis Etienne Jr.,JAX,RB
26,Deebo Samuel Sr.,SF,WR
27,Isiah Pacheco,KC,RB
28,Derrick Henry,BAL,RB
29,Nico Collins,HOU,WR
30,DJ Moore,CHI,WR
31,Malik Nabers,NYG,WR
32,Josh Allen,BUF,QB
33,Jalen Hurts,PHI,QB
34,Cooper Kupp,LAR,WR
35,Sam LaPorta,DET,TE
36,Amari Cooper,CLE,WR
37,George Pickens,PIT,WR
38,Travis Kelce,KC,TE
39,James Cook,BUF,RB
40,Rachaad White,TB,RB
41,DeVonta Smith,PHI,WR
42,Josh Jacobs,GB,RB
43,Stefon Diggs,HOU,WR
44,Lamar Jackson,BAL,QB
45,Christian Kirk,JAX,WR
46,Kenneth Walker III,SEA,RB
47,Patrick Mahomes II,KC,QB
48,Mark Andrews,BAL,TE
49,Anthony Richardson,IND,QB
50,Dalton Kincaid,BUF,TE
51,C.J. Stroud,HOU,QB
52,Michael Pittman Jr.,IND,WR
53,Tank Dell,HOU,WR
54,Alvin Kamara,NO,RB
55,Joe Mixon,HOU,RB
56,Terry McLaurin,WAS,WR
57,Zay Flowers,BAL,WR
58,Tee Higgins,CIN,WR
59,Trey McBride,ARI,TE
60,Kyle Pitts,ATL,TE
61,James Conner,ARI,RB
62,George Kittle,SF,TE
63,Keenan Allen,CHI,WR
64,Diontae Johnson,CAR,WR
65,Chris Godwin,TB,WR
66,Rashee Rice,KC,WR
67,Rhamondre Stevenson,NE,RB
68,Jayden Reed,GB,WR
69,Calvin Ridley,TEN,WR
70,D'Andre Swift,CHI,RB
71,David Montgomery,DET,RB
72,Aaron Jones,MIN,RB
73,Ladd McConkey,LAC,WR
74,Raheem Mostert,MIA,RB
75,Joe Burrow,CIN,QB
76,Dak Prescott,DAL,QB
77,Kyler Murray,ARI,QB
78,Hollywood Brown,KC,WR
79,Brian Robinson Jr.,WAS,RB
80,Zamir White,LV,RB
81,Jonathon Brooks,CAR,RB
82,Najee Harris,PIT,RB
83,Rome Odunze,CHI,WR
84,Jaxon Smith-Njigba,SEA,WR
85,Christian Watson,GB,WR
86,Javonte Williams,DEN,RB
87,Devin Singletary,NYG,RB
88,Zack Moss,CIN,RB
89,Tony Pollard,TEN,RB
90,Tyjae Spears,TEN,RB
91,Jaylen Warren,PIT,RB
92,Jordan Love,GB,QB
93,Curtis Samuel,BUF,WR
94,Brian Thomas Jr.,JAX,WR
95,Keon Coleman,BUF,WR
96,Brock Purdy,SF,QB
97,Caleb Williams,CHI,QB
98,Jayden Daniels,WAS,QB
99,DeAndre Hopkins,TEN,WR
100,Courtland Sutton,DEN,WR
101,Brandin Cooks,DAL,WR
102,Austin Ekeler,WAS,RB
103,Jameson Williams,DET,WR
104,Jerome Ford,CLE,RB
105,Chase Brown,CIN,RB
106,Gus Edwards,LAC,RB
107,Rashid Shaheed,NO,WR
108,Jordan Addison,MIN,WR
109,Xavier Worthy,KC,WR
110,Evan Engram,JAX,TE
111,David Njoku,CLE,TE
112,Jake Ferguson,DAL,TE
113,Brock Bowers,LV,TE
114,Nick Chubb,CLE,RB
115,Ezekiel Elliott,DAL,RB
116,Zach Charbonnet,SEA,RB
117,Ty Chandler,MIN,RB
118,Trey Benson,ARI,RB
119,Blake Corum,LAR,RB
120,Rico Dowdle,DAL,RB
121,MarShawn Lloyd,GB,RB
122,Tyler Allgeier,ATL,RB
123,Chuba Hubbard,CAR,RB
124,Tyler Lockett,SEA,WR
125,Mike Williams,NYJ,WR
126,Jakobi Meyers,LV,WR
127,Ja'Lynn Polk,NE,WR
128,Romeo Doubs,GB,WR
129,Dontayvion Wicks,GB,WR
130,Josh Downs,IND,WR
131,Khalil Shakir,BUF,WR
132,Joshua Palmer,LAC,WR
133,Jerry Jeudy,CLE,WR
134,Kendre Miller,NO,RB
135,Jahan Dotson,WAS,WR
136,Ricky Pearsall,SF,WR
137,Adonai Mitchell,IND,WR
138,Dallas Goedert,PHI,TE
139,Pat Freiermuth,PIT,TE
140,Jaleel McLaughlin,DEN,RB
141,Demarcus Robinson,LAR,WR
142,Rashod Bateman,BAL,WR
143,Darnell Mooney,ATL,WR
144,Antonio Gibson,NE,RB
145,Ray Davis,BUF,RB
146,Jaylen Wright,MIA,RB
147,Braelon Allen,NYJ,RB
148,Xavier Legette,CAR,WR
149,Luke Musgrave,GB,TE
150,Tua Tagovailoa,MIA,QB
151,Jared Goff,DET,QB
152,Kirk Cousins,ATL,QB
153,Trevor Lawrence,JAX,QB
154,Justin Herbert,LAC,QB
155,Geno Smith,SEA,QB
156,Deshaun Watson,CLE,QB
157,Kimani Vidal,LAC,RB
158,Elijah Mitchell,SF,RB
159,Roschon Johnson,CHI,RB
160,J.K. Dobbins,LAC,RB
161,Jermaine Burton,CIN,WR
162,Michael Wilson,ARI,WR
163,Khalil Herbert,CHI,RB
164,Will Shipley,PHI,RB
165,Bucky Irving,TB,RB
166,Audric Estime,DEN,RB
167,Tyrone Tracy Jr.,NYG,RB
168,Dameon Pierce,HOU,RB
169,Matthew Stafford,LAR,QB
170,Cole Kmet,CHI,TE
171,Dalton Schultz,HOU,TE
172,Tyler Conklin,NYJ,TE
173,T.J. Hockenson,MIN,TE
174,Marvin Mims Jr.,DEN,WR
175,Dylan Laube,LV,RB
176,Jordan Mason,SF,RB
177,Deneric Prince,KC,RB
178,Hunter Henry,NE,TE
179,Taysom Hill,NO,TE
180,Gabe Davis,JAX,WR
181,Javon Baker,NE,WR
182,Jalen McMillan,TB,WR
183,Baker Mayfield,TB,QB
184,Adam Thielen,CAR,WR
185,Jalin Hyatt,NYG,WR
186,Greg Dortch,ARI,WR
187,Cade Otton,TB,TE
188,Ben Sinnott,WAS,TE
189,DeMario Douglas,NE,WR
190,Aaron Rodgers,NYJ,QB
191,Will Levis,TEN,QB
192,Bryce Young,CAR,QB
193,Miles Sanders,CAR,RB
194,Tank Bigsby,JAX,RB
