PlayerID,Name,Team,Position,Age,Non-SF Value
justin-jefferson-542,Justin Jefferson,MIN,WR,25,9999
ceedee-lamb-546,CeeDee Lamb,DAL,WR,25,9999
ja-marr-chase-1004,Ja'Marr Chase,CIN,WR,24,9974
amon-ra-st-brown-1010,Amon-Ra St. Brown,DET,WR,24,9407
bijan-robinson-1414,Bijan Robinson,ATL,RB,22,9358
marvin-harrison-jr-1585,Marvin Harrison Jr.,ARI,WR,21,9164
breece-hall-1224,Breece Hall,NYJ,RB,23,8547
jahmyr-gibbs-1415,Jahmyr Gibbs,DET,RB,22,8428
garrett-wilson-1270,Garrett Wilson,NYJ,WR,23,8044
puka-nacua-1426,Puka Nacua,LAR,WR,23,8029
christian-mccaffrey-283,Christian McCaffrey,SFO,RB,28,7946
josh-allen-365,Josh Allen,BUF,QB,28,7849
aj-brown-217,A.J. Brown,PHI,WR,27,7766
sam-laporta-1429,Sam LaPorta,DET,TE,23,7763
malik-nabers-1586,Malik Nabers,NYG,WR,20,7715
patrick-mahomes-272,Patrick Mahomes,KCC,QB,28,7699
2024-early-1st-1293,2024 Early 1st,FA,PICK,,7448
chris-olave-1271,Chris Olave,NOS,WR,24,7097
cj-stroud-1403,C.J. Stroud,HOU,QB,22,7086
drake-london-1268,Drake London,ATL,WR,22,7082
jaylen-waddle-1007,Jaylen Waddle,MIA,WR,25,7023
jonathan-taylor-634,Jonathan Taylor,IND,RB,25,6978
tyreek-hill-286,Tyreek Hill,MIA,WR,30,6948
rome-odunze-1587,Rome Odunze,CHI,WR,22,6862
brandon-aiyuk-538,Brandon Aiyuk,SFO,WR,26,6817
lamar-jackson-372,Lamar Jackson,BAL,QB,27,6757
jalen-hurts-595,Jalen Hurts,PHI,QB,25,6746
2025-early-1st-1361,2025 Early 1st,FA,PICK,,6743
nico-collins-1040,Nico Collins,HOU,WR,25,6703
devonta-smith-1005,DeVonta Smith,PHI,WR,25,6695
trey-mcbride-1253,Trey McBride,ARI,TE,24,6537
dalton-kincaid-1428,Dalton Kincaid,BUF,TE,24,6511
travis-etienne-1030,Travis Etienne,JAC,RB,25,6497
de-von-achane-1398,De'Von Achane,MIA,RB,22,6461
anthony-richardson-1405,Anthony Richardson,IND,QB,22,6428
dk-metcalf-224,DK Metcalf,SEA,WR,26,6315
michael-pittman-536,Michael Pittman,IND,WR,26,6309
zay-flowers-1443,Zay Flowers,BAL,WR,23,6304
brock-bowers-1612,Brock Bowers,LVR,TE,21,6297
joe-burrow-601,Joe Burrow,CIN,QB,27,6286
2024-mid-1st-1294,2024 Mid 1st,FA,PICK,,6246
tank-dell-1438,Tank Dell,HOU,WR,24,6233
jonathon-brooks-1568,Jonathon Brooks,CAR,RB,20,6172
tee-higgins-543,Tee Higgins,CIN,WR,25,6098
saquon-barkley-1,Saquon Barkley,PHI,RB,27,6096
kyle-pitts-1051,Kyle Pitts,ATL,TE,23,6090
caleb-williams-1550,Caleb Williams,CHI,QB,22,6070
dj-moore-304,D.J. Moore,CHI,WR,27,6068
jaxon-smith-njigba-1437,Jaxon Smith-Njigba,SEA,WR,22,6034
george-pickens-1279,George Pickens,PIT,WR,23,6012
kyren-williams-1226,Kyren Williams,LAR,RB,23,5979
2026-early-1st-1527,2026 Early 1st,FA,PICK,,5975
kenneth-walker-iii-1227,Kenneth Walker III,SEA,RB,23,5970
jordan-addison-1420,Jordan Addison,MIN,WR,22,5893
justin-herbert-599,Justin Herbert,LAC,QB,26,5887
mark-andrews-366,Mark Andrews,BAL,TE,28,5837
2025-mid-1st-1362,2025 Mid 1st,FA,PICK,,5826
brian-thomas-jr-1589,Brian Thomas Jr.,JAC,WR,21,5779
jordan-love-596,Jordan Love,GBP,QB,25,5720
isiah-pacheco-1266,Isiah Pacheco,KCC,RB,25,5701
ladd-mcconkey-1598,Ladd McConkey,LAC,WR,22,5668
james-cook-1231,James Cook,BUF,RB,24,5666
kyler-murray-379,Kyler Murray,ARI,QB,26,5609
2024-late-1st-1295,2024 Late 1st,FA,PICK,,5609
xavier-worthy-1591,Xavier Worthy,KCC,WR,21,5596
rachaad-white-1180,Rachaad White,TBB,RB,25,5452
tj-hockenson-247,T.J. Hockenson,MIN,TE,27,5434
deebo-samuel-383,Deebo Samuel,SFO,WR,28,5425
2026-mid-1st-1528,2026 Mid 1st,FA,PICK,,5337
jayden-daniels-1552,Jayden Daniels,WAS,QB,23,5321
trey-benson-1565,Trey Benson,ARI,RB,21,5314
jayden-reed-1419,Jayden Reed,GBP,WR,24,5254
josh-jacobs-303,Josh Jacobs,GBP,RB,26,5213
2025-late-1st-1363,2025 Late 1st,FA,PICK,,5203
rashee-rice-1447,Rashee Rice,KCC,WR,24,5125
keon-coleman-1588,Keon Coleman,BUF,WR,21,5034
travis-kelce-264,Travis Kelce,KCC,TE,34,5015
mike-evans-275,Mike Evans,TBB,WR,30,4970
davante-adams-277,Davante Adams,LVR,WR,31,4928
trevor-lawrence-1094,Trevor Lawrence,JAC,QB,24,4871
christian-kirk-221,Christian Kirk,JAC,WR,27,4797
terry-mclaurin-328,Terry McLaurin,WAS,WR,28,4754
2026-late-1st-1529,2026 Late 1st,FA,PICK,,4699
ricky-pearsall-1593,Ricky Pearsall,SFO,WR,23,4686
rhamondre-stevenson-1036,Rhamondre Stevenson,NEP,RB,26,4606
d-andre-swift-639,D'Andre Swift,CHI,RB,25,4575
amari-cooper-269,Amari Cooper,CLE,WR,30,4564
cooper-kupp-310,Cooper Kupp,LAR,WR,31,4559
derrick-henry-296,Derrick Henry,BAL,RB,30,4533
christian-watson-1248,Christian Watson,GBP,WR,25,4530
brock-purdy-1214,Brock Purdy,SFO,QB,24,4527
2024-early-2nd-1296,2024 Early 2nd,FA,PICK,,4480
stefon-diggs-262,Stefon Diggs,HOU,WR,30,4438
zamir-white-1230,Zamir White,LVR,RB,24,4389
xavier-legette-1610,Xavier Legette,CAR,WR,23,4388
chris-godwin-299,Chris Godwin,TBB,WR,28,4355
tyjae-spears-1417,Tyjae Spears,TEN,RB,23,4337
dak-prescott-371,Dak Prescott,DAL,QB,30,4334
george-kittle-298,George Kittle,SFO,TE,30,4302
adonai-mitchell-1597,Adonai Mitchell,IND,WR,21,4301
joe-mixon-273,Joe Mixon,HOU,RB,27,4286
najee-harris-1031,Najee Harris,PIT,RB,26,4278
diontae-johnson-338,Diontae Johnson,CAR,WR,28,4269
jameson-williams-1273,Jameson Williams,DET,WR,23,4268
marquise-brown-311,Marquise Brown,KCC,WR,27,4259
david-montgomery-288,David Montgomery,DET,RB,27,4245
tua-tagovailoa-600,Tua Tagovailoa,MIA,QB,26,4238
evan-engram-229,Evan Engram,JAC,TE,29,4211
jaylen-warren-1201,Jaylen Warren,PIT,RB,25,4190
jake-ferguson-1258,Jake Ferguson,DAL,TE,25,4186
alvin-kamara-282,Alvin Kamara,NOS,RB,28,4176
