Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Ja'Marr Chase,CIN,WR,24,9997,99
Justin Jefferson,MIN,WR,25,9991,99
CeeDee Lamb,DAL,WR,25,9981,99
Bijan Robinson,ATL,RB,22,9489,94
Amon-Ra St. Brown,DET,WR,24,9475,94
Marvin Harrison Jr.,ARI,WR,21,8940,89
Breece Hall,NYJ,RB,23,8806,88
Jahmyr Gibbs,DET,RB,22,8427,84
Christian McCaffrey,SFO,RB,28,8053,80
Puka Nacua,LAR,WR,23,8005,79
Garrett Wilson,NYJ,WR,24,7864,78
A.J. Brown,PHI,WR,27,7846,78
Josh Allen,BUF,QB,28,7818,78
Sam LaPorta,DET,TE,23,7800,77
Malik Nabers,NYG,WR,20,7676,76
Patrick Mahomes,KCC,QB,28,7668,76
2024 Early 1st,FA,PICK,,7237,72
Chris Olave,NOS,WR,24,7140,71
Jaylen Waddle,MIA,WR,25,7077,70
Tyreek Hill,MIA,WR,30,7061,70
Drake London,ATL,WR,23,7016,70
Jonathan Taylor,IND,RB,25,6960,69
C.J. Stroud,HOU,QB,22,6927,69
Brandon Aiyuk,SFO,WR,26,6783,67
Rome Odunze,CHI,WR,22,6739,67
2025 Early 1st,FA,PICK,,6737,67
Lamar Jackson,BAL,QB,27,6715,66
Nico Collins,HOU,WR,25,6714,66
Jalen Hurts,PHI,QB,25,6713,66
DeVonta Smith,PHI,WR,25,6675,66
De'Von Achane,MIA,RB,22,6581,65
Travis Etienne,JAC,RB,25,6480,64
Anthony Richardson,IND,QB,22,6476,64
Trey McBride,ARI,TE,24,6464,64
Dalton Kincaid,BUF,TE,24,6408,63
DK Metcalf,SEA,WR,26,6270,62
Brock Bowers,LVR,TE,21,6267,62
2024 Mid 1st,FA,PICK,,6251,62
Michael Pittman,IND,WR,26,6229,62
Kyren Williams,LAR,RB,23,6218,61
Tank Dell,HOU,WR,24,6200,61
Saquon Barkley,PHI,RB,27,6185,61
Joe Burrow,CIN,QB,27,6177,61
Zay Flowers,BAL,WR,23,6143,61
Jonathon Brooks,CAR,RB,21,6130,61
D.J. Moore,CHI,WR,27,6118,60
Tee Higgins,CIN,WR,25,6106,60
George Pickens,PIT,WR,23,6058,60
Kyle Pitts,ATL,TE,23,6016,59
Jaxon Smith-Njigba,SEA,WR,22,5999,59
2026 Early 1st,FA,PICK,,5971,59
Caleb Williams,CHI,QB,22,5941,59
Kenneth Walker III,SEA,RB,23,5901,58
Isiah Pacheco,KCC,RB,25,5878,58
Jordan Love,GBP,QB,25,5831,58
2025 Mid 1st,FA,PICK,,5811,57
Mark Andrews,BAL,TE,28,5779,57
Justin Herbert,LAC,QB,26,5773,57
James Cook,BUF,RB,24,5699,56
Brian Thomas Jr.,JAC,WR,21,5665,56
Ladd McConkey,LAC,WR,22,5633,56
Xavier Worthy,KCC,WR,21,5595,55
Kyler Murray,ARI,QB,26,5559,55
Jordan Addison,MIN,WR,22,5506,54
2024 Late 1st,FA,PICK,,5482,54
Deebo Samuel,SFO,WR,28,5472,54
Jayden Daniels,WAS,QB,23,5461,54
T.J. Hockenson,MIN,TE,27,5429,54
Jayden Reed,GBP,WR,24,5354,53
2026 Mid 1st,FA,PICK,,5341,53
Rachaad White,TBB,RB,25,5335,53
2025 Late 1st,FA,PICK,,5298,52
Josh Jacobs,GBP,RB,26,5234,52
Trey Benson,ARI,RB,22,5170,51
Rashee Rice,KCC,WR,24,5165,51
Keon Coleman,BUF,WR,21,5095,50
Mike Evans,TBB,WR,30,5015,49
Davante Adams,LVR,WR,31,4996,49
Travis Kelce,KCC,TE,34,4949,49
Trevor Lawrence,JAC,QB,24,4790,47
Rhamondre Stevenson,NEP,RB,26,4780,47
Christian Kirk,JAC,WR,27,4730,47
2026 Late 1st,FA,PICK,,4717,46
Derrick Henry,BAL,RB,30,4673,46
Ricky Pearsall,SFO,WR,23,4641,46
Cooper Kupp,LAR,WR,31,4640,46
Terry McLaurin,WAS,WR,28,4613,45
Amari Cooper,CLE,WR,30,4588,45
Zamir White,LVR,RB,24,4572,45
D'Andre Swift,CHI,RB,25,4550,45
Christian Watson,GBP,WR,25,4527,44
Brock Purdy,SFO,QB,24,4525,44
Joe Mixon,HOU,RB,28,4443,44
Tyjae Spears,TEN,RB,23,4422,43
Dak Prescott,DAL,QB,30,4392,43
Chris Godwin,TBB,WR,28,4380,43
2024 Early 2nd,FA,PICK,,4369,43
George Kittle,SFO,TE,30,4369,43
Tua Tagovailoa,MIA,QB,26,4291,42
David Montgomery,DET,RB,27,4287,42
Najee Harris,PIT,RB,26,4278,42
Xavier Legette,CAR,WR,23,4268,42
Marquise Brown,KCC,WR,27,4267,42
Evan Engram,JAC,TE,29,4253,42
Adonai Mitchell,IND,WR,21,4249,42
Blake Corum,LAR,RB,23,4233,42
Jake Ferguson,DAL,TE,25,4230,41
Jaylen Warren,PIT,RB,25,4221,41
Diontae Johnson,CAR,WR,28,4198,41
2025 Early 2nd,FA,PICK,,4085,40
Brian Robinson,WAS,RB,25,4050,40
Calvin Ridley,TEN,WR,29,4031,39
David Njoku,CLE,TE,28,4016,39
Jameson Williams,DET,WR,23,3993,39
Zach Charbonnet,SEA,RB,23,3986,39
Alvin Kamara,NOS,RB,29,3984,39
Kendre Miller,NOS,RB,22,3929,38
2024 Mid 2nd,FA,PICK,,3927,38
Ja'Lynn Polk,NEP,WR,22,3925,38
Drake Maye,NEP,QB,21,3891,38
MarShawn Lloyd,GBP,RB,23,3879,38
Josh Downs,IND,WR,22,3829,37
Tony Pollard,TEN,RB,27,3815,37
Jared Goff,DET,QB,29,3803,37
Romeo Doubs,GBP,WR,24,3795,37
Javonte Williams,DEN,RB,24,3776,37
Dontayvion Wicks,GBP,WR,23,3733,36
Jaylen Wright,MIA,RB,21,3713,36
2025 Mid 2nd,FA,PICK,,3649,36
Keenan Allen,CHI,WR,32,3645,36
Zack Moss,CIN,RB,26,3628,35
2024 Late 2nd,FA,PICK,,3598,35
J.J. McCarthy,MIN,QB,21,3581,35
Jahan Dotson,WAS,WR,24,3579,35
Aaron Jones,MIN,RB,29,3578,35
Khalil Shakir,BUF,WR,24,3564,35
Pat Freiermuth,PIT,TE,25,3557,35
Jermaine Burton,CIN,WR,23,3516,34
Roman Wilson,PIT,WR,23,3512,34
Bryce Young,CAR,QB,23,3500,34
Chase Brown,CIN,RB,24,3499,34
Jerome Ford,CLE,RB,24,3491,34
